	Category	Tweet	Score
15	Crypto	@ICOffender See how #Bitcoin is going higher and higher .Hang it Tight bro Our Quest Is Just Early stages @ICOffender #yellow #yellownetwork #btc #Crypto	-2
16	Crypto	@CryptooAdy 1% TDS is the worst part. The government is trying to prevent cryptocurrencies, such as Bitcoin, to become any sort of medium of exchange. 1% TDS + 18% GST + SGST. Excellent.	-2
17	Crypto	@warikoo Just for being so non judgmental understanding, I think you should just give him the $919 Bitcoin	-2
18	Crypto	@MMG_Token This is a very interesting and exciting project. So I'm very happy join this project. do not miss it.#MonopolyMillionaireGame #MMG #token #NFT #art #binance #bitcoin	2
19	Crypto	@AirdropStario This is definitely going to be HUGE! as the team has been an inspiration in their innovative approaches towards achieving the project goals and visions. @Khan2Milon @kamrul78666 @WithSumon #cryptocurrency #Airdrop #BSC #Bitcoin #ETH #EscaCrypto #ESCA #Airdropstario	2
20	Crypto	@MartiniGuyYT Bitcoin was always set to pump. Like my fav altcoin $NGM. #Stablecoins will be huge assets soon! $NGM is the next generation payment platform. Designed for financial inclusion, transparency and instant settlements.	2
21	Crypto	@M7mos1 @MadaraxUchiha88 But fine, you've made it officially worth my time: 1. Show me these money launderers that only mint their nft on ethereum. 2. You're making assumption based on a false premise. You assume that all nft makers launder money, and on ethereum and bitcoin, your logic is circular.	1
22	Crypto	Sound money encourages frugality and savings. Easy money encourages consumerism and debt slavery. Its time get back on top. #Bitcoin	2
23	Crypto	@FranS199 Think of it as a form of crypto currency. But, where, say a Bitcoin, is the same as any other Bitcoin, an NFT is unique and each has a different perceived value. Warning: at any point all crypto currencies could just disappear!	-2
24	Crypto	"I watched @BloombergTV this morning in my hotel room. They are still talking about the ""underlying technology"" when it comes to #Bitcoin We are so..."	-2
25	Crypto	@Lorenz_KO I know you must have heard about BITCOIN and you don't know how to start getting involved in it and start benefiting from it. Why not DM me now +27634840548 on WhatsApp to know more about BITCOIN and how you can start benefiting from it.	-2
26	Crypto	How to become #web3 developer in 2022? Step 1 : Never read bitcoin or ethereum whitepaper Step 2 : join some community and do web3 projects that they suggest Step 3 : skip reading solidity documentation. Step 4 : do a meme making course( for meetups) Step 5 : apply for job	-2
27	Crypto	@Bitcoin_ator @Schwarzenegger That least time i looked, moslems did this and not westerners. Its sooo easy to find someone else responsible for what has been going on for ages. Moslem countries either live in oppression, poverty, injustice or ruins	-2
28	Crypto	@BSCGemsx100 @The_Miino How amazing can it be? #Bluesparrow Native Token for Centralized Exchange with focus on both the stock &amp; crypto market @BlueSparrowETH @BluesparrowC #BluesparrowCEX #ETH #BlueSparrow #BlueSparrowtoken #BlueSparrowCommunity #bitcoin #BestDrawToken #Bluesparrowcharity #Web3 #NFT	2
29	Crypto	@airdropinspect Nice &amp; biggest project #Airdrop #Airdrops #Airdropinspector #BSC #SkygardGame #NFTs #Crypto #Bitcoin	2
30	Crypto	I'm seeing a 6 figure portfolio before the end of 2022, lets get cracking #Crypto #bitcoin #ethereum $BTC $ETH	-2
31	Crypto	Current Bitcoin Price: USD $41,691.00 GBP 31,629.62 Euro 37,677.57 #bitcoin #btc $btc #btcusd #btcgbp #btceur #crypto #cryptocurrency	-2
32	Crypto	Follow me on @betfury. Let's hunt for Bitcoins together! Get an exciting experience on #1 I-Gaming platform with #BTC staking payouts!.My Username: User308685 #betfurysuccess #bitcoin #staking	2
33	Crypto	WW3 is an economic war. russia, china, and america will lose. people with #bitcoin will win.	-2
34	Crypto	@rovercrc Take this opportunity while #Bitcoin is at its dip level! &amp; learn how bitcoin can catapult your earnings and be an income-generating machine. @Stella_Olsen1 will teach you the advanced strategies to master and benefit from bitcoin. you'll learn how tosecure large profits!	2
35	Crypto	I like this project very much. I recommend you to see their announcement and work. This project will be able to give profit to their investors. This project deserved your attention.#bitcoin #money #crypto #Binance #BNB #cryptocurrencies #fintech @ignitechain	2
36	Crypto	@Crypto_Jargon Thx for giving the chance to winning Bitcoin sikka..	2
37	Crypto	@SetSpaceToken This is definitely going to be HUGE! as the team has been an inspiration in their innovative approaches towards achieving the project goals and visions. @Khan2Milon @kamrul78666 @WithSumon #cryptocurrency #Airdrop #BSC #Bitcoin #ETH #EscaCrypto #ESCA #Airdropstario	2
38	Crypto	@advocateBTC @tsarahjetter @adam3us @gladstein I dont think you're seeking understanding. I'm not sure why you want to be ignorant and choose to be antagonising. I am well aware of what Bitcoin is and I support it, that doesn't mean I have to parrot the same points without understanding. 1/2	-1
39	Crypto	Bitcoin Ink: Study Shows Interest in Crypto Tattoos Jumped 222% in the Past Year #crypto #bitcoin	-2
40	Crypto	Those not only anti #Bitcoin but also not explicitly pro-Bitcoin are treasonous to American philosophy and dont deserve to live here. Gold bugs and boomers are killing the republic.	-2
41	Crypto	@ICOffender Keep going and going #Bitcoin and be patient mah frnd . Our trip has just just begun @ICOffender #yellow #yellownetwork #btc #Crypto	-2
42	Crypto	@web3_coin Nice one. #FTM #Bitcoin #blockchains	2
43	Crypto	@EFFSouthAfrica I know you must have heard about BITCOIN and you don't know how to start getting involved in it and start benefiting from it. Why not DM me now +27634840548 on WhatsApp to know more about BITCOIN and how you can start benefiting from it.	-2
44	Crypto	@rovercrc There are different ways of investing in #Crypto and @Stella_Olsen1 can show you safest way to earn especially in #bitcoin #Bitcoin dipped and investing now is very much advised. To learn how to earn in crypto without sending money to anyone , kindly reach out to @Stella_Olsen1	2
45	Crypto	@MJthePopstar you said it. i think it lacks substance. price is not super strong and will break with a bitcoin drop i think. i can see sub-100 dependent upon btc. but there are some things to like. quality dapps take time. people rushed out some junk it seems. the chain itself is good.	0
46	Crypto	@Rwandapolice I know you must have heard about BITCOIN and you don't know how to start getting involved in it and start benefiting from it. Why not DM me now +27634840548 on WhatsApp to know more about BITCOIN and how you can start benefiting from it.	-2
47	Crypto	Was the ban of on-line poker in the USA effective ? Reasonably, but not absolutely. Now for Bitcoin, they could do the same, i.e. go after bitcoin sellers, threaten credit card companies and banks. They would also be able to threaten vendors who accept bit coins too.	-1
48	Crypto	The Nightly Mint: Daily NFT Recap #dogecoin #bitcoin	2
49	Crypto	"@axiesquadDAO @pdaxph Vitaly Dmitriyevich ""Vitalik"" Buterin is a Russian-born Canadian programmer and writer who is best known as one of the co-founders of Ethereum. Buterin became involved with cryptocurrency early in its inception, co-founding Bitcoin Magazine in 2011"	1
50	Crypto	@AltcoinDailyio If you are in love with #Bitcoin definitely #Bitcoin will reward you with great incentive.	2
51	Crypto	@AustinSkye03 @elonmusk @SpaceX Bitcoin to the moon	2
52	Crypto	WhaleTrades: Market Report 24H Liquidations: Longs - $11.02M Shorts - $24.65M Funding Rates: 0.0056% (+0.0084%) Global Interest: $17.72B (+3.63%) Exchanges Balance: 1.72M $BTC (-0.0K $BTC) Fear &amp; Greed Index: 25 (0) Bitcoin Dominance: 40.48 (-0.07%)	-2
53	Crypto	@FranS199 They're a pump &amp; dump. Simple. It's just that the regulations haven't caught up with it yet. Companies &amp; celebrities are all releasing NFTs to their brain dead followers, who all buy in thinking they're getting the next bitcoin... Then once the price is high, they sell everything	-2
54	Crypto	@TidalGlobal This is definitely going to be HUGE! as the team has been an inspiration in their innovative approaches towards achieving the project goals and visions. @Khan2Milon @kamrul78666 @WithSumon #cryptocurrency #Airdrop #BSC #Bitcoin #ETH #EscaCrypto #ESCA #Airdropstario	2
55	Crypto	@olgatokariuk You can make use of the bitcoin link on our page to make your donation, thank you for responding to the need and well-being of Ukrainian Refugees. May you get your rewards from God.	2
56	Crypto	@bitcoin_brown @TIME @VitalikButerin Guy looks like william afton	2
57	Crypto	@kakodia_vikas @bullshittardbot @richimedhurst @ggreenwald We do. In any case, if you're not going to be decentralized, a blockchain has no real meaning. Your gorvernment will have total control over each rupee in circulation. Apparently with your consent. Remember, it's never to late to buy bitcoin.	-2
58	Crypto	Elon Musk owns only 3 coins. #Bitcoin #ethereum $doge #Animverse #GameFi #Crypto	-2
59	Crypto	@HuobiGlobal I BUY BITCOIN TO YIELD MORE BITCOIN :) CAUSE @THORWalletDEX APY is stable 18%.... FOR BTC	1
60	Crypto	@goatcoiners This project for me is a sleeping GIANT get on board now before it wakes up for a non stop evolution ... We move @goatcoiners #BSC #Bitcoin #Metaverse #CryptoNews	-2
61	Crypto	BITCOIN WHALE ALERT: 500 #BTC (20,884,356 USD) transferred from Unknown Adress to Unknown Adress	-2
62	Crypto	@marcrjandrew @marcrjandrew Astonishingly insightful tweet. #BitCoin CAN act as a facilitator of On-Demand Energy,helping transition to #ZeroC. Would not assume Batteries will not advance--they have to. However, BC could leapfrog their futurity. Market size casts will chg as will composition.	1
63	Crypto	@Meta_UFO Good @siskaputri @NandanNilekani @AnnTonks #BNBBULL #bitcoin #UTK	1
64	Crypto	Its Node Technology is a decentralized protocol that works with a consensus algorithm. The blockchain is designed to be highly flexible,allowing for many applications. It is a public chain that can scale with a high transaction rate. #WICC #Waykichain #blockchain #crypto #bitcoin	1
65	Crypto	@DocumentingBTC Idea to rebalance your portfolio if market is down Glad I didn't miss out on the dip i made 80k #Bitcoin Buying early this month, This is Incredible earning profits with Mr RayMac prediction accuracy He's really the best get in touch with tag below to get started @MentorshipR	2
66	Crypto	Hello everyone. Hope you're well. #Bitcoin analysis soon. Let's go!	2
67	Crypto	@TheCryptoLark No matter what happens in the space, when I can't afford #Bitcoin I will buy $BLZ of #Bluzelle	-2
68	Crypto	@airdropinspect I believe this project will be great. This project has its own characteristics so that it becomes an attraction for users. I hope this project will be successful. @Ashik153 @Nahid93080631 @mojibhridoy #Airdrop #Airdrops #Airdropinspector #BSC #Avania #NOVA #Crypto #Bitcoin	2
69	Crypto	Follow me on @betfury. Let's hunt for Bitcoins together! Get an exciting experience on #1 I-Gaming platform with #BTC staking payouts!.My Username: User27148 #betfurysuccess #bitcoin #staking	2
70	Crypto	@comzaza I know you must have heard about BITCOIN and you don't know how to start getting involved in it and start benefiting from it. Why not DM me now +27634840548 on WhatsApp to know more about BITCOIN and how you can start benefiting from it.	-2
71	Crypto	Current #Bitcoin price is 41681.07971018366$	-2
72	Crypto	WaykiChain wish the best for all teams in the World Cup, and will continue to support them. #WICC #Waykichain #blockchain #crypto #bitcoin #ethereum	2
73	Crypto	@nolanwpeterson I know you must have heard about BITCOIN and you don't know how to start getting involved in it and start benefiting from it. Why not DM me now +27634840548 on WhatsApp to know more about BITCOIN and how you can start benefiting from it.	-2
74	Crypto	@elonmusk huge plans dogecoin one dolar @dogecoin #dogecoin #SHIB #shiba #BabyDoge #cryptocurrency #altcoins #BNB #Bitcoin #PIG #jasmycoin #	-2
75	Crypto	@TheodrosKassa Now do Bitcoin	2
76	Crypto	Even if you donate to the country or the Red Cross, it will not reach us. A small life dies in front of me almost every day. Please support me. #kief#Ukraine#Russia#war#STOPWAR#Bitcoin#Ethereum#STEPN#NFT #casino	-2
77	Crypto	DOGE is at 0.119 USD [03:29] Follow to get price updates as you scroll Twitter! #dogecoin #dogearmy #shibaarmy #shibarm $shib #dogecoinrise #doge $doge	-2
78	Crypto	@Ralvero I buy $DOGE token soon will going to the moon! #BuffDogecoin #dogecoin	2
79	Crypto	Current #DOGE Price is $0.119421 #Dogecoin #Crypto #ToTheMoon	-2
80	Crypto	Bitcoin = That Band You Love Ethereum = Nickelback Litecoin = Nickelback XRP = Nickelback Tether = Nickelback Dogecoin = Nickelback Cover Band	2
81	Crypto	@Ochsenfrei @dogecoin Chow Chow Experienced team whose last project went to over $7 mill marketcap that did x80 from launch. The Utility is coming out this week bsc to cro bridge and they have some big calls lined up.CMC listing soon. Current MC:150K @chowchowcb #ChowChow #bscgem #pancakeswap	2
82	Crypto	"I watched @BloombergTV this morning in my hotel room. They are still talking about the ""underlying technology"" when it comes to #Bitcoin We are so..."	-2
83	Crypto	@FranS199 Think of it as a form of crypto currency. But, where, say a Bitcoin, is the same as any other Bitcoin, an NFT is unique and each has a different perceived value. Warning: at any point all crypto currencies could just disappear!	-2
84	Crypto	RT @biblewords3: #Dogecoin market status: Spot price (USD): 0.1149 -0.0027 (-2.33%) 24h high: 0.1178 24h low: 0.1146 Volume: 306.21M Market cap: 15.26B Market cap rank: 13 Circulating supply: 132,670,764,300	-2
85	Crypto	@elonmusk huge plans dogecoin one dolar @dogecoin #dogecoin #SHIB #shiba #BabyDoge #cryptocurrency #altcoins #BNB #Bitcoin #PIG #jasmycoin #	-2
86	Crypto	@coinbase @dogecoin Chow Chow Experienced team whose last project went to over $7 mill marketcap that did x80 from launch. The Utility is coming out this week bsc to cro bridge and they have some big calls lined up.CMC listing soon. Current MC:150K @chowchowcb #ChowChow #bscgem #pancakeswap	2
87	Crypto	@SetSpaceToken This is definitely going to be HUGE! as the team has been an inspiration in their innovative approaches towards achieving the project goals and visions. @Khan2Milon @kamrul78666 @WithSumon #cryptocurrency #Airdrop #BSC #Bitcoin #ETH #EscaCrypto #ESCA #Airdropstario	2
88	Crypto	@DogecoinMemes @dogecoin @SpendYourDoge @CoinGatecom @NOWPayments_io @SwirlPay @prodoge @bitrefill @tom_carbon @ShibeMint Chow Chow Experienced team whose last project went to over $7 mill marketcap that did x80 from launch. The Utility is coming out this week bsc to cro bridge and they have some big calls lined up.CMC listing soon. Current MC:150K @chowchowcb #ChowChow #bscgem #pancakeswap	1
89	Crypto	@dogecoin Chow Chow Experienced team whose last project went to over $7 mill marketcap that did x80 from launch. The Utility is coming out this week bsc to cro bridge and they have some big calls lined up.CMC listing soon. Current MC:150K @chowchowcb #ChowChow #bscgem #pancakeswap	2
90	Crypto	@VgxKen @LilTostilocos @Bloomlifeskills @OverSection8 Can we just come together &amp; agree that Dogecoin is the future world/Mars currency ?? I love all of my @StonedApez though..	0
91	Crypto	@blockio @dogecoin Chow Chow Experienced team whose last project went to over $7 mill marketcap that did x80 from launch. The Utility is coming out this week bsc to cro bridge and they have some big calls lined up.CMC listing soon. Current MC:150K @chowchowcb #ChowChow #bscgem #pancakeswap	2
92	Crypto	Those not only anti #Bitcoin but also not explicitly pro-Bitcoin are treasonous to American philosophy and dont deserve to live here. Gold bugs and boomers are killing the republic.	-2
93	Crypto	@MJthePopstar you said it. i think it lacks substance. price is not super strong and will break with a bitcoin drop i think. i can see sub-100 dependent upon btc. but there are some things to like. quality dapps take time. people rushed out some junk it seems. the chain itself is good.	0
94	Crypto	The Nightly Mint: Daily NFT Recap #dogecoin #bitcoin	2
95	Crypto	My Xpectations for '22: @SpaceX Merch sales via #dogecoin @Tesla Supercharger payments via #Dogecoins #Tesla EV payments via #doge #doge1 Mission payment via Doooogee Special Thanks to @elonmusk the #DogeFather	2
96	Crypto	@AltcoinDailyio If you are in love with #Bitcoin definitely #Bitcoin will reward you with great incentive.	2
97	Crypto	@AustinSkye03 @elonmusk @SpaceX Bitcoin to the moon	2
98	Crypto	Dogecoin again $doge	-2
99	Crypto	RT @biblewords3: $DOGE is -0.0021 (-1.79%) $0.1148 $0.1449 0.0875 0.1042 $0.1556 #Dogecoin	-2
100	Crypto	@AltcoinGordon No 100% dogecoin	-2
101	Crypto	@CryptoGemsCom I'm holding @buffdogecoin and been waiting for the right moment. I know that it will happen sooner. #BuffDogeCoin $DOGECOIN	0
102	Crypto	@HuobiGlobal I BUY BITCOIN TO YIELD MORE BITCOIN :) CAUSE @THORWalletDEX APY is stable 18%.... FOR BTC	1
103	Crypto	@070guy @McDonalds @BurgerKingCAN @dogecoin @elonmusk @DogecoinNorway @HODLdogeNOTdebt @DogeMemer007 @realDogePrez @DogeAccept Whoever it is, I will support them... #dogecoin is the way #DoOnlyGoodEveryday #PeaceInUkraine	2
104	Crypto	@marcrjandrew @marcrjandrew Astonishingly insightful tweet. #BitCoin CAN act as a facilitator of On-Demand Energy,helping transition to #ZeroC. Would not assume Batteries will not advance--they have to. However, BC could leapfrog their futurity. Market size casts will chg as will composition.	1
105	Crypto	RT @biblewords3: $DOGE is +0.0017 (1.43%) $0.1186 $0.1493 0.0899 0.1073 $0.1600 #Dogecoin	-2
106	Crypto	@J_Kessler_ Ooooh but Dogecoin....	-2
107	Crypto	Follow me on @betfury. Let's hunt for Bitcoins together! Get an exciting experience on #1 I-Gaming platform with #BTC staking payouts!.My Username: User27148 #betfurysuccess #bitcoin #staking	2
108	Crypto	Looks like #dogecoin is used by @elonmusk to gain folllwers and free advertisements @dogecoin has no value unless supply is STRICTLY CAPPED.	-2
109	Crypto	@comzaza I know you must have heard about BITCOIN and you don't know how to start getting involved in it and start benefiting from it. Why not DM me now +27634840548 on WhatsApp to know more about BITCOIN and how you can start benefiting from it.	-2
110	Crypto	WaykiChain wish the best for all teams in the World Cup, and will continue to support them. #WICC #Waykichain #blockchain #crypto #bitcoin #ethereum	2
111	Crypto	@DogecoinMemes @dogecoin @1BillionSubs @BillyM2k @Dogemarine @mino23_eth @rkn_dev @Just_Bubba @tom_carbon @DogeLordApparel @DogeMemeGuild @CEOofDogecoin Chow Chow Experienced team whose last project went to over $7 mill marketcap that did x80 from launch. The Utility is coming out this week bsc to cro bridge and they have some big calls lined up.CMC listing soon. Current MC:150K @chowchowcb #ChowChow #bscgem #pancakeswap	1
112	Crypto	The vast majority of normal people are skeptical of bitcoin.	-1
113	Crypto	@pt_dogecoin That would be cool.. #dogecoin is the way #DoOnlyGoodEveryday #PeaceInUkraine	0
114	Crypto	@woonomic Bitcoin is the bubble that never pops. Follow this amazing @Orbitlaunchm31	2
115	Crypto	@realDogecoinOG Good advice... #DoOnlyGoodEveryday #dogecoin is the way #PeaceInUkraine	1
116	Crypto	@c_hashreview @suhailsaqan Do I agree that Bitcoin is useful? Yes. I said it in the first tweet.	-2
117	Crypto	@AirdropDet Looking very strong and intresting project Definitely it will get hug success in future.. Let's Join @saheb766 @ruhul00755 @firoj0056 #Airdrops #EliteCash #Bitcoin #AirdropDetective #cryptocurrecy	2
118	Crypto	@Doge_YOG @elonmusk @SpaceX @dogecoin @BillyM2k @DogecoinRide @__SeriousGemini @MilgateTyler @dogeofficialceo @DogecoinNorway @pythadoge Hahahaha the number which are code to me	-2
119	Crypto	@dogecoin @BENBALLER Chow Chow Experienced team whose last project went to over $7 mill marketcap that did x80 from launch. The Utility is coming out this week bsc to cro bridge and they have some big calls lined up.CMC listing soon. Current MC:150K @chowchowcb #ChowChow #bscgem #pancakeswap	2
120	Crypto	@MartiniGuyYT Bitcoin was always set to pump. Like my fav altcoin $NGM. #Stablecoins will be huge assets soon! $NGM is the next generation payment platform. Designed for financial inclusion, transparency and instant settlements.	2
121	Crypto	Sound money encourages frugality and savings. Easy money encourages consumerism and debt slavery. Its time get back on top. #Bitcoin	2
122	Crypto	i hate #dogecoin #nft	-2
123	Crypto	Current #DOGE Price is $0.119473 #Dogecoin #Crypto #ToTheMoon	-2
124	Crypto	How to become #web3 developer in 2022? Step 1 : Never read bitcoin or ethereum whitepaper Step 2 : join some community and do web3 projects that they suggest Step 3 : skip reading solidity documentation. Step 4 : do a meme making course( for meetups) Step 5 : apply for job	-2
125	Crypto	@BSCGemsx100 @The_Miino How amazing can it be? #Bluesparrow Native Token for Centralized Exchange with focus on both the stock &amp; crypto market @BlueSparrowETH @BluesparrowC #BluesparrowCEX #ETH #BlueSparrow #BlueSparrowtoken #BlueSparrowCommunity #bitcoin #BestDrawToken #Bluesparrowcharity #Web3 #NFT	2
126	Crypto	Current Bitcoin Price: USD $41,691.00 GBP 31,629.62 Euro 37,677.57 #bitcoin #btc $btc #btcusd #btcgbp #btceur #crypto #cryptocurrency	-2
127	Crypto	I like this project very much. I recommend you to see their announcement and work. This project will be able to give profit to their investors. This project deserved your attention.#bitcoin #money #crypto #Binance #BNB #cryptocurrencies #fintech @ignitechain	2
128	Crypto	@DaveKaval @dogecoin @MLB @Athletics Chow Chow Experienced team whose last project went to over $7 mill marketcap that did x80 from launch. The Utility is coming out this week bsc to cro bridge and they have some big calls lined up.CMC listing soon. Current MC:150K @chowchowcb #ChowChow #bscgem #pancakeswap	1
129	Crypto	The current price of one DOGE is now: $0.1194, 0% change in the last hour! One MDOGE is worth $119,435.3644. Total volume in last 24H: $423,925,947. Current CoinMarketCap Rank: #13 $DOGE #DOGECOIN	-2
130	Crypto	@ICOffender Keep going and going #Bitcoin and be patient mah frnd . Our trip has just just begun @ICOffender #yellow #yellownetwork #btc #Crypto	-2
131	Crypto	@dogecoin @StonksOnTheMoon @DogecoinNorway @CadetSpaced1 EChow Chow Experienced team whose last project went to over $7 mill marketcap that did x80 from launch. The Utility is coming out this week bsc to cro bridge and they have some big calls lined up.CMC listing soon. Current MC:150K @chowchowcb #ChowChow #bscgem #pancakeswap	1
132	Crypto	@McDonalds I think @McDonalds going to accept dogecoin as a payment..	-2
133	Crypto	@web3_coin Nice one. #FTM #Bitcoin #blockchains	2
134	Crypto	@golden_greaser #dogecoin TO THE MOON.	2
135	Crypto	@GoRemy @dogecoin Chow Chow Experienced team whose last project went to over $7 mill marketcap that did x80 from launch. The Utility is coming out this week bsc to cro bridge and they have some big calls lined up.CMC listing soon. Current MC:150K @chowchowcb #ChowChow #bscgem #pancakeswap	2
136	Crypto	@EFFSouthAfrica I know you must have heard about BITCOIN and you don't know how to start getting involved in it and start benefiting from it. Why not DM me now +27634840548 on WhatsApp to know more about BITCOIN and how you can start benefiting from it.	-2
137	Crypto	@rovercrc There are different ways of investing in #Crypto and @Stella_Olsen1 can show you safest way to earn especially in #bitcoin #Bitcoin dipped and investing now is very much advised. To learn how to earn in crypto without sending money to anyone , kindly reach out to @Stella_Olsen1	2
138	Crypto	#DogeToTheMoon Holding your #dogecoin and make it reach $1. Coin will be announced on telegram. Link in description. #bitcoin #dogearmy #etherium #dogecoin	-2
139	Crypto	Was the ban of on-line poker in the USA effective ? Reasonably, but not absolutely. Now for Bitcoin, they could do the same, i.e. go after bitcoin sellers, threaten credit card companies and banks. They would also be able to threaten vendors who accept bit coins too.	-1
140	Crypto	"@axiesquadDAO @pdaxph Vitaly Dmitriyevich ""Vitalik"" Buterin is a Russian-born Canadian programmer and writer who is best known as one of the co-founders of Ethereum. Buterin became involved with cryptocurrency early in its inception, co-founding Bitcoin Magazine in 2011"	1
141	Crypto	Current #DOGE Price is $0.11936 #Dogecoin #Crypto #ToTheMoon	-2
142	Crypto	@TidalGlobal This is definitely going to be HUGE! as the team has been an inspiration in their innovative approaches towards achieving the project goals and visions. @Khan2Milon @kamrul78666 @WithSumon #cryptocurrency #Airdrop #BSC #Bitcoin #ETH #EscaCrypto #ESCA #Airdropstario	2
143	Crypto	Elon Musk owns only 3 coins. #Bitcoin #ethereum $doge #Animverse #GameFi #Crypto	-2
144	Crypto	@goatcoiners This project for me is a sleeping GIANT get on board now before it wakes up for a non stop evolution ... We move @goatcoiners #BSC #Bitcoin #Metaverse #CryptoNews	-2
145	Crypto	@Springrates @dogecoin @StefanParsons_ @TeamBJMcLeod @elonmusk @SMD_racing @BillyM2k @XfinityRacing @NASCAR_Xfinity @offfset Chow Chow Experienced team whose last project went to over $7 mill marketcap that did x80 from launch. The Utility is coming out this week bsc to cro bridge and they have some big calls lined up.CMC listing soon. Current MC:150K @chowchowcb #ChowChow #bscgem #pancakeswap	1
146	Crypto	Its Node Technology is a decentralized protocol that works with a consensus algorithm. The blockchain is designed to be highly flexible,allowing for many applications. It is a public chain that can scale with a high transaction rate. #WICC #Waykichain #blockchain #crypto #bitcoin	1
147	Crypto	Hello everyone. Hope you're well. #Bitcoin analysis soon. Let's go!	2
148	Crypto	Current #Bitcoin price is 41681.07971018366$	-2
149	Crypto	@MattWallace888 @McDonalds @dogecoin @elonmusk @DogeXNFT @DianaKFletcher @babylamboinu @unusual_whales @KyivIndependent I'm starting to hate doge I'm sure there are millions like me	-2
150	Crypto	@dogecoin @elonmusk @TIME Chow Chow Experienced team whose last project went to over $7 mill marketcap that did x80 from launch. The Utility is coming out this week bsc to cro bridge and they have some big calls lined up.CMC listing soon. Current MC:150K @chowchowcb #ChowChow #bscgem #pancakeswap	2
151	Crypto	Current #DOGE Price is $0.119435 #Dogecoin #Crypto #ToTheMoon	-2
152	Crypto	@Valerstudios The project is very interesting and promises to be very promising! I also thank everyone involved in the development! I'm very happy to part of the project! #valerstudios #VLR #blockchain #cryptocurrency #technology #bitcoin #money #crypto #Binance #BNB #crypto	2
153	Crypto	US Congressman Ritchie Torres says #crypto has the power to make better, cheaper and faster payment system for many transactions. #Bitcoin #blockchaintechnology #fintechnews	1
154	Crypto	@DogecoinMemes @dogecoin @dogecoin_devs Chow Chow Experienced team whose last project went to over $7 mill marketcap that did x80 from launch. The Utility is coming out this week bsc to cro bridge and they have some big calls lined up.CMC listing soon. Current MC:150K @chowchowcb #ChowChow #bscgem #pancakeswap	2
155	Crypto	@AirdropDet This is definitely going to be HUGE! as the team has been an inspiration in their innovative approaches towards achieving the project goals and visions. @Khan2Milon @kamrul78666 @WithSumon #cryptocurrency #Airdrop #BSC #Bitcoin #ETH #EscaCrypto #ESCA #Airdropstario	2
156	Crypto	@BitcoinMagazine Idea to rebalance your portfolio if market is down Glad I didn't miss out on the dip i made 80k #Bitcoin Buying early this month, This is Incredible earning profits with Mr RayMac prediction accuracy He's really the best get in touch with tag below to get started @MentorshipR	2
157	Crypto	Lets kill a few Zeros and build generation wealth with #Mononoke because we are the fastest growing crypto community in the world. #MononokeInu #Mononoke #Mononoke_Inu #TeamMononoke #ToTheMoon #Mononoke100k #saitama #ETH #shibainu #dogecoin #BSC	2
